Kingdom,Phylum,Class,Order,Family,Species,Library?,Source,Source 2,Notes,Selected,TE_count,MCH_Parameters
Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,345,"x=10, e=500, c=1"
Animalia,Chordata,Actinopteri,Istiophoriformes,Istiophoridae,Istiophorus platypterus,Complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,67,"x=10, e=500, c=1"
Fungi,Basidiomycota,Agaricomycetes,Jaapiales,Jaapiaceae,Jaapia argillacea,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Lamiales,Bignoniaceae,Jacaranda mimosifolia,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,279,"x=10, e=500, c=1"
Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Jackrogersella minutella,Complete,RM2+MCH,,B-GUT,RM2+MCH,2,"x=0, e=500, c=1"
Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Jaculus jaculus,Complete,Dfam,,Curated Dfam,Dfam,32,
Fungi,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,Jahnula aquatica,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha curcas,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,554,"x=10, e=500, c=1"
Fungi,Mucoromycota,Endogonomycetes,Endogonales,Endogonaceae,Jimgerdemannia flammicorona,Complete,RM2+MCH,,B-GUT,RM2+MCH,21,"x=0, e=500, c=1"
Fungi,Mucoromycota,Endogonomycetes,Endogonales,Endogonaceae,Jimgerdemannia lactiflua,Complete,RM2+MCH,,B-GUT,RM2+MCH,19,"x=0, e=500, c=1"
Plantae,Angiosperma,,Fagales,Juglandaceae,Juglans californica,Complete,RM2+MCH,,Uncurated Dfam,RM2+MCH,490,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Fagales,Juglandaceae,Juglans mandshurica,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,508,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Fagales,Juglandaceae,Juglans nigra,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,394,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Juncaceae,Juncus effusus,complete,RM2+MCH,,"ENSEMBL ""2023""",RM2+MCH,93,"x=10, e=500, c=1"
Plantae,Angiosperma,Magnoliopsida,Poales,Juncaceae,Juncus inflexus,Complete,RM2+MCH,,"ENSEMBL ""2025""",RM2+MCH,137,"x=10, e=500, c=1"
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Kalaharituber pfeilii,Complete,RM2+MCH,,B-GUT,RM2+MCH,40,"x=0, e=500, c=1"
Fungi,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Kalapuya brunnea,Complete,RM2+MCH,,B-GUT,RM2+MCH,15,"x=0, e=500, c=1"
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Karstenula rhodostoma,Complete,RM2+MCH,,B-GUT,RM2+MCH,3,"x=0, e=500, c=1"
